Source IP,Destination IP,Source Port,Destination Port,Packet Length
20.189.173.10,192.168.45.150,443,52774,105
192.168.45.150,20.189.173.10,52774,443,14454
20.189.173.10,192.168.45.150,443,52773,54
20.189.173.10,192.168.45.150,443,52773,525
192.168.45.150,20.189.173.10,52773,443,54
192.168.45.150,20.189.173.10,52773,443,85
192.168.45.150,20.189.173.10,52773,443,54
20.189.173.10,192.168.45.150,443,52774,54
192.168.45.150,20.189.173.10,52774,443,5814
20.189.173.10,192.168.45.150,443,52774,54
